nombre,precioUnitario,unidad,precioFinal,URL,ingredientes,descripcion,categoria,marca,supermercado
"Cerveza 0,0 tostada pack botellín 6x25 cl","6,95",LITRO,"4,29 €",https://cdn-bm.aktiosdigitalservices.com/tol/bm/media/product/img/300x300/A85585_00.jpg?t=20241106031115,"Agua, malta de cebada, lúpulo, levadura",,Bebidas,,BM
Toallitas para bebés extra care sensitive Huggies bolsa 56 unidades,2.19,UNIDAD,0.04,,"Frutas deshidratadas, jarabe de agave, nueces",,Bebe,DIA,Dia
Perejil barqueta (50 g aprox),"1,85",KILO,"1,09 €",https://cdn-bm.aktiosdigitalservices.com/tol/bm/media/product/img/300x300/A19838_00.jpg?t=20241108030034,"Aceite de oliva, ajo, perejil, sal marina",,Alimentacion,,BM
Limpiador wc colgador Agerul brisa fresca marina,"25,00€",KILO,"1,25€",https://www.ahorramas.com/dw/image/v2/BFNH_PRD/on/demandware.static/-/Sites-ahorramas-master/default/dw3bcc5543/Assets/081903_C1C1/large/1/2/2/4/1224709bc8a671b3beb78c1c26c376d8f236425c_081903_C1C1.jpg?sw=400&sh=900&sm=fit,"Frutas deshidratadas, jarabe de agave, nueces",,Limpieza,,AHORRAMAS
Arroz para Sushi 500g,"15,49",KILO,"3,78 €",https://cdn-bm.aktiosdigitalservices.com/tol/bm/media/product/img/300x300/A79713_00.jpg?t=20241101030103,"Harina de maíz, agua, sal, antioxidantes",,Alimentacion,,BM
Patatas fritas Premium 160 g,"6,95",KILO,"2,30 €",https://cdn-bm.aktiosdigitalservices.com/tol/bm/media/product/img/300x300/noimage.png,"Frutas deshidratadas, jarabe de agave, nueces",,Alimentacion,,BM
Vino blanco Albariño Mar Frades + funda. 75cl,"23,27€",LITRO,"17,45€",https://www.ahorramas.com/dw/image/v2/BFNH_PRD/on/demandware.static/-/Sites-ahorramas-master/default/dw50e82f0c/Assets/070794_C1C1/large/d/b/d/a/dbda5431e3e478347aac8c485de7d92662797864_070794_C1C1.jpg?sw=400&sh=900&sm=fit,"Frutas deshidratadas, jarabe de agave, nueces",,Bebidas,,AHORRAMAS
Chorizo tradicional Bricio pack 2 de 175g,"9,14€",KILO,"3,20€",https://www.ahorramas.com/dw/image/v2/BFNH_PRD/on/demandware.static/-/Sites-ahorramas-master/default/dwa1174e40/Assets/030960_C1C1/large/e/e/3/5/ee359ac05ec80839c69707bf0da61e7915dd5543_030960_C1C1.jpg?sw=400&sh=900&sm=fit,"Harina de maíz, agua, sal, antioxidantes",,Frescos,,AHORRAMAS
Chorizo bellota guijuelito Revisan 180g,"23,83€",KILO,"4,29€",https://www.ahorramas.com/dw/image/v2/BFNH_PRD/on/demandware.static/-/Sites-ahorramas-master/default/dw1dcfb0ec/Assets/072503_C1C1/large/d/7/d/9/d7d9de3f5f4fba7d802bc3c6fde71ffd54bc4b3f_072503_C1C1.jpg?sw=400&sh=900&sm=fit,"Frutas deshidratadas, jarabe de agave, nueces",,Frescos,,AHORRAMAS
Filete 1ªB añojo selecta bandeja (450 g aprox),"17,45",KILO,,https://cdn-bm.aktiosdigitalservices.com/assets/product/es/icon-weight.png?ts=1731156386,"Aceite de oliva, ajo, perejil, sal marina",,Frescos,,BM
Detergente en pastillas para lavavajillas Lanta 40 unidades todo en uno,"0,10€",LAVADO,"3,95€",https://www.ahorramas.com/dw/image/v2/BFNH_PRD/on/demandware.static/-/Sites-ahorramas-master/default/dw3f7bb8c3/Assets/071313_C1C1/large/6/c/3/c/6c3c9592ad2e5bee261734b489521104046a7990_071313_C1C1.jpg?sw=400&sh=900&sm=fit,"Harina de maíz, agua, sal, antioxidantes",,Limpieza,,AHORRAMAS
Cabezada de cerdo en bandeja (500 aprox),"9,50",KILO,,https://cdn-bm.aktiosdigitalservices.com/assets/product/es/icon-weight.png?ts=1731156360,"Harina de maíz, agua, sal, antioxidantes",,Frescos,,BM
Merluza del cantábrico al corte (500 g aprox),"22,95",KILO,,https://cdn-bm.aktiosdigitalservices.com/assets/product/es/icon-weight.png?ts=1731156212,"Aceite de oliva, ajo, perejil, sal marina",,Frescos,,BM
Taquitos de chorizo Revilla pack 2 de 75g,"12,73€",KILO,"1,91€",https://www.ahorramas.com/dw/image/v2/BFNH_PRD/on/demandware.static/-/Sites-ahorramas-master/default/dw301e813b/Assets/018231_C1C1/large/6/5/0/e/650e4eeb066b5a0354c00175dd7586cb34ca2785_018231_C1C1.jpg?sw=400&sh=900&sm=fit,"Aceite de oliva, ajo, perejil, sal marina",,Frescos,,AHORRAMAS
Refresco de cola sabor original Coca-Cola lata 12 x 33 cl,10.44,LITRO,2.64,,"Harina de maíz, agua, sal, antioxidantes",Bebida refrescante aromatizada,Bebidas,DIA,Dia
Betún crema autobrillante marrón Búfalo 50 ml,"47,00€",LITRO,"2,35€",https://www.ahorramas.com/dw/image/v2/BFNH_PRD/on/demandware.static/-/Sites-ahorramas-master/default/dw8da692f5/Assets/065498_C1C1/large/2/2/1/a/221a571770249d815116b4b97ba85dca18008da3_065498_C1C1.jpg?sw=400&sh=900&sm=fit,"Aceite de oliva, ajo, perejil, sal marina",,Limpieza,,AHORRAMAS
Limpiador para mopas Lanta spray 750ml,"3,80€",LITRO,"2,85€",https://www.ahorramas.com/dw/image/v2/BFNH_PRD/on/demandware.static/-/Sites-ahorramas-master/default/dwf4204fe3/Assets/073389_C1C1/large/b/1/2/8/b12879be6f77753b2c21632325e632f76c6a05fd_073389_C1C1.jpg?sw=400&sh=900&sm=fit,"Aceite de oliva, ajo, perejil, sal marina",,Limpieza,,AHORRAMAS
Tarta Alipende 1l al whisky,"3,50€",LITRO,"3,50€",https://www.ahorramas.com/dw/image/v2/BFNH_PRD/on/demandware.static/-/Sites-ahorramas-master/default/dw2d0d5d7b/Assets/085001_C1C1/large/f/d/9/8/fd984a44ab1f2db56c88f1461da30b62aa02b7e3_085001_C1C1.jpg?sw=400&sh=900&sm=fit,"Frutas deshidratadas, jarabe de agave, nueces",,Congelados,,AHORRAMAS
Limon malla 1kg,"1,99€",KILO,"1,99€",https://www.ahorramas.com/dw/image/v2/BFNH_PRD/on/demandware.static/-/Sites-ahorramas-master/default/dwf7224c40/Assets/068730_C1C1/large/c/b/2/9/cb29c2003c540da7d2552bf605368842fc7f61f2_068730_C1C1.jpg?sw=400&sh=900&sm=fit,"Aceite de oliva, ajo, perejil, sal marina",,Frescos,,AHORRAMAS
Mascarilla adiós daños repara y fortifica Fructis frasco 320 ml,4.99,,,,"Aceite de oliva, ajo, perejil, sal marina",,Cuidado personal,DIA,Dia
Patatas de microondas 400 g,"15,95",KILO,"1,39 €",https://cdn-bm.aktiosdigitalservices.com/tol/bm/media/product/img/300x300/A71510_00.jpg?t=20241109030053,"Frutas deshidratadas, jarabe de agave, nueces",,Alimentacion,,BM
Refresco de cola zero azúcar zero cafeína Coca-Cola botella 2 x 2 l,3.9,LITRO,0.98,,"Aceite de oliva, ajo, perejil, sal marina",Bebida refrescante aromatizada. con edulcorantes.,Bebidas,DIA,Dia
Tortilla chips con chili 185 g,"22,43",KILO,"2,36 €",https://cdn-bm.aktiosdigitalservices.com/tol/bm/media/product/img/300x300/A28018_00.jpg?t=20241106030342,"Aceite de oliva, ajo, perejil, sal marina",,Alimentacion,,BM
Magdalenas cuadradas 12 unidades 380 g,"7,95",KILO,"1,59 €",https://cdn-bm.aktiosdigitalservices.com/tol/bm/media/product/img/300x300/A30013_00.jpg?t=20241106030041,"Aceite de oliva, ajo, perejil, sal marina",,Alimentacion,,BM
Margarina vitaminada con sal Diasol tarrina 500 g,1.45,KILO,2.9,,"Frutas deshidratadas, jarabe de agave, nueces","Margarina tres cuartos. Con vitaminas A, D y E.",Lacteos,DIA,Dia
Kiwi gold Zespri bandeja 500 g,3.56,KILO,7.12,,"Frutas deshidratadas, jarabe de agave, nueces",,Frescos,DIA,Dia
Refresco de cola Pepsi 1l,"1,00€",LITRO,"1,00€",https://www.ahorramas.com/dw/image/v2/BFNH_PRD/on/demandware.static/-/Sites-ahorramas-master/default/dw653a07ba/Assets/063772_C1C1/large/9/6/0/3/96030468c6faf68e63af88b81487f30c98b6bf3b_063772_C1C1.jpg?sw=400&sh=900&sm=fit,"Harina de maíz, agua, sal, antioxidantes",,Bebidas,,AHORRAMAS
Gel íntimo delicado formula suave Chilly bote 250 ml,4.69,,,,"Aceite de oliva, ajo, perejil, sal marina",,Cuidado personal,DIA,Dia
Berenjena granel 800 g aprox.,2.03,KILO,2.54,,"Aceite de oliva, ajo, perejil, sal marina",,Frescos,DIA,Dia
Leche desmaquillante calmante pétalos de rosa Imaqe de Dia bote 250 ml,1.55,,,,"Leche desnatada, calcio, vitaminas D y B12",,Cuidado personal,DIA,Dia
Paté navarro con pepitas de foie 130 g,"24,51",KILO,"6,79 €",https://cdn-bm.aktiosdigitalservices.com/tol/bm/media/product/img/300x300/A25051_00.jpg?t=20240907030115,"Frutas deshidratadas, jarabe de agave, nueces",,Alimentacion,,BM
KEBAB KING UPP ELPOZO 300G PAVO-POLLO Kebab king upp Elpozo 300 gr pavo-pollo,"12,83€",KILO,"3,85€",https://www.ahorramas.com/dw/image/v2/BFNH_PRD/on/demandware.static/-/Sites-ahorramas-master/default/dw2a25e31d/Assets/073851_C1C1/large/6/1/b/b/61bbf3121f9996a21a3736fc744e4c3cb96b3f9c_073851_C1C1.jpg?sw=400&sh=900&sm=fit,"Aceite de oliva, ajo, perejil, sal marina",,Frescos,,AHORRAMAS
Pimiento del piquillo en tiras 290 g,"37,50",KILO,"1,35 €",https://cdn-bm.aktiosdigitalservices.com/tol/bm/media/product/img/300x300/A08026_00.jpg?t=20241107030231,"Harina de maíz, agua, sal, antioxidantes",,Alimentacion,,BM
Bastones de pan cristal con oliva negra 120 g,"10,70",KILO,"3,59 €",https://cdn-bm.aktiosdigitalservices.com/tol/bm/media/product/img/300x300/A66101_00.jpg?t=20241011030225,"Harina integral, aceite de oliva, semillas, sal",,Alimentacion,,BM
Pasta orecchiette Barilla 500g,"4,70€",KILO,"2,35€",https://www.ahorramas.com/dw/image/v2/BFNH_PRD/on/demandware.static/-/Sites-ahorramas-master/default/dw742d1304/Assets/074783_C1C1/large/f/e/6/7/fe671706b83fdf37647fe20641c8a58a2715a927_074783_C1C1.jpg?sw=400&sh=900&sm=fit,"Aceite de oliva, ajo, perejil, sal marina",,Alimentacion,,AHORRAMAS
Aperitivo frito con sabor a queso Cheetos bolsa 75 g,1.83,KILO,24.4,,"Frutas deshidratadas, jarabe de agave, nueces",Producto de aperitivo frito con sabor a queso,Alimentacion,DIA,Dia
Garbanzo Álava Eusko Label 500 g,"8,45",KILO,"2,11 €",https://cdn-bm.aktiosdigitalservices.com/assets/product/es/icon-localMarket.png,"Aceite de oliva, ajo, perejil, sal marina",,Alimentacion,,BM
Salsa fresca de quesos italianos 180 g,"37,50",KILO,"2,55 €",https://cdn-bm.aktiosdigitalservices.com/tol/bm/media/product/img/300x300/A17979_00.jpg?t=20241106030510,"Aceite de oliva, ajo, perejil, sal marina",,Lacteos,,BM
Salteado de verduras Al Punto Dia bolsa 450 g,1.01,KILO,2.53,,"Harina de maíz, agua, sal, antioxidantes",MEZCLA DE HORTALIZAS Y CHAMPIÑÓN. PRODUCTO ULTRACONGELADO.,Congelados,DIA,Dia
Chorizo de Zamora extra dulce 120 gr,"11,99",KILO,"3,45 €",https://cdn-bm.aktiosdigitalservices.com/tol/bm/media/product/img/300x300/A67389_00.jpg?t=20241106030112,"Harina de maíz, agua, sal, antioxidantes",,Alimentacion,,BM
Bitter Kas lata 33 cl,0.99,LITRO,3.0,,"Harina de maíz, agua, sal, antioxidantes",Bebida refrescante de extractos con azúcares y edulcorantes,Bebidas,DIA,Dia
Vino tinto crianza D.O Rioja Señorío de Ondas botella 75 cl,2.25,LITRO,3.0,,"Harina de maíz, agua, sal, antioxidantes",Vino tinto crianza Rioja,Bebidas,DIA,Dia
Caracol grande (entrega fin de semana),"20,95",KILO,,https://cdn-bm.aktiosdigitalservices.com/assets/product/es/icon-weight.png?ts=1731156317,"Frutas deshidratadas, jarabe de agave, nueces",,Alimentacion,,BM
Postre de soja Alpro 400g mango,"5,47€",KILO,"2,19€",https://www.ahorramas.com/dw/image/v2/BFNH_PRD/on/demandware.static/-/Sites-ahorramas-master/default/dwb970ce6e/Assets/0515_C1C1/large/4/c/c/2/4cc247a7457ee73ef4537d5d8a129c36a8608a25_0515_C1C1.jpg?sw=400&sh=900&sm=fit,"Cacao amargo, avellanas, aceite de palma, edulcorante",,Lacteos,,AHORRAMAS
Tinte de cabello L'Oréal Excellence Creme nº 8 rubio claro,"9,70€",UNIDAD,"9,70€",https://www.ahorramas.com/dw/image/v2/BFNH_PRD/on/demandware.static/-/Sites-ahorramas-master/default/dw88949f9d/Assets/060344_C1C1/large/a/1/4/8/a14892246534343777415bad42acc8d2d9c4d283_060344_C1C1.jpg?sw=400&sh=900&sm=fit,"Harina de maíz, agua, sal, antioxidantes",,Cuidado personal,,AHORRAMAS
Mascarilla hidra ácido hialurónico Elvive frasco 310 ml,4.5,,,,"Aceite de oliva, ajo, perejil, sal marina",,Cuidado personal,DIA,Dia
Atún claro Calvo pack-3 en aceite girasol,"22,44€",KG.PESO ESC,"3,50€",https://www.ahorramas.com/dw/image/v2/BFNH_PRD/on/demandware.static/-/Sites-ahorramas-master/default/dw7f690594/Assets/0332_C1C1/large/c/c/3/1/cc315bbc30dccfc763824a80205586e2f18a009c_0332_C1C1.jpg?sw=400&sh=900&sm=fit,"Frutas deshidratadas, jarabe de agave, nueces",,Alimentacion,,AHORRAMAS
Papilla Nestlé 8 cereales miel desde 6meses 725g,"7,52€",KILO,"5,45€",https://www.ahorramas.com/dw/image/v2/BFNH_PRD/on/demandware.static/-/Sites-ahorramas-master/default/dw2884bb93/Assets/08445290686848_A1L1/large/1/6/1/d/161df8caed4da08ddd892aa906e4e78c9d2b6091_08445290686848_A1L1.jpg?sw=400&sh=900&sm=fit,"Frutas deshidratadas, jarabe de agave, nueces",,Bebe,,AHORRAMAS
Yatekomo yakisoba de pollo 93 g,"16,35",KILO,"1,95 €",https://cdn-bm.aktiosdigitalservices.com/tol/bm/media/product/img/300x300/A15940_00.jpg?t=20241106030354,"Harina de maíz, agua, sal, antioxidantes",,Frescos,,BM
Valeriana Vivisima+ caja 50 unidades,3.95,UNIDAD,0.08,,"Aceite de oliva, ajo, perejil, sal marina",Complemento alimentício,Cuidado personal,DIA,Dia
Bombilla Led Dicroica gu10 TM 7W calida,"2,99€",UNIDAD,"2,99€",https://www.ahorramas.com/dw/image/v2/BFNH_PRD/on/demandware.static/-/Sites-ahorramas-master/default/dwb4ccb329/Assets/073214_C1C1/large/8/3/6/3/8363872986c16d9d73b373f315219ab401f04386_073214_C1C1.jpg?sw=400&sh=900&sm=fit,"Aceite de oliva, ajo, perejil, sal marina",,Hogar,,AHORRAMAS
Castaña,"7,95",KILO,,https://cdn-bm.aktiosdigitalservices.com/assets/product/es/icon-weight.png?ts=1731157502,"Harina de maíz, agua, sal, antioxidantes",,Alimentacion,,BM
Conejo,"8,99€",Kg,"8,99€",https://www.ahorramas.com/dw/image/v2/BFNH_PRD/on/demandware.static/-/Sites-ahorramas-master/default/dw8d43c6af/Assets/025852_C1C1/large/5/4/b/0/54b0639b5e24fdd2567be2f50c7cd591e5627a3f_025852_C1C1.jpg?sw=400&sh=900&sm=fit,"Frutas deshidratadas, jarabe de agave, nueces",,Frescos,,AHORRAMAS
Chorizo de pamplona extra Nuestra Alacena de Dia bandeja 2 x 100 g,1.73,KILO,8.65,,"Frutas deshidratadas, jarabe de agave, nueces",Chorizo de Pamplona extra loncheado,Frescos,DIA,Dia
Abrillantador para lavavajillas Somat 500 ml,"7,20€",LITRO,"3,60€",https://www.ahorramas.com/dw/image/v2/BFNH_PRD/on/demandware.static/-/Sites-ahorramas-master/default/dw8777a3b6/Assets/03914_C1C1/large/e/f/4/8/ef481aff008b31ebd44e86d064b89d243ad6dab7_03914_C1C1.jpg?sw=400&sh=900&sm=fit,"Aceite de oliva, ajo, perejil, sal marina",,Limpieza,,AHORRAMAS
Jamón curado Elpozo 1954 bandeja 2 x 75 g,3.0,KILO,20.0,,"Aceite de oliva, ajo, perejil, sal marina",JAMÓN CURADO.,Frescos,DIA,Dia
Jamón cocido en lonchas 75 g,"8,95",KILO,"1,00 €",https://cdn-bm.aktiosdigitalservices.com/tol/bm/media/product/img/300x300/A44460_00.jpg?t=20241109030206,"Aceite de oliva, ajo, perejil, sal marina",,Frescos,,BM
Calamar en su tinta 115 g,"8,45",100 GR,"1,25 €",https://cdn-bm.aktiosdigitalservices.com/tol/bm/media/product/img/300x300/A15336_00.jpg?t=20241106030014,"Aceite de oliva, ajo, perejil, sal marina",,Alimentacion,,BM
Edulcorante líquido 90 ml,"23,25",LITRO,"2,85 €",https://cdn-bm.aktiosdigitalservices.com/tol/bm/media/product/img/300x300/A49633_00.jpg?t=20241003030028,"Harina de maíz, agua, sal, antioxidantes",,Alimentacion,,BM
Chorizo extra picante 100 g,"14,95",KILO,"2,57 €",https://cdn-bm.aktiosdigitalservices.com/tol/bm/media/product/img/300x300/A01602_00.jpg?t=20241030030144,"Harina de maíz, agua, sal, antioxidantes",,Alimentacion,,BM
Tendedero de resina plegable Rayen 20 metros,"24,99€",UNIDAD,"24,99€",https://www.ahorramas.com/dw/image/v2/BFNH_PRD/on/demandware.static/-/Sites-ahorramas-master/default/dw1a9d9d6f/Assets/08412955301286_C1C1/large/2/5/b/2/25b2be94e9ddae5e3457cb0a33b70ed78acf4531_08412955301286_C1C1.jpg?sw=400&sh=900&sm=fit,"Aceite de oliva, ajo, perejil, sal marina",,Hogar,,AHORRAMAS
Esponja Bodyplus nature,"1,50€",UNIDAD,"1,50€",https://www.ahorramas.com/dw/image/v2/BFNH_PRD/on/demandware.static/-/Sites-ahorramas-master/default/dwc0e45e65/Assets/084780_C1C1/large/d/4/e/4/d4e4cec0af7a2ff4c4588dfa744c008ace2639de_084780_C1C1.jpg?sw=400&sh=900&sm=fit,"Harina de maíz, agua, sal, antioxidantes",,Cuidado personal,,AHORRAMAS
Puerros Bandeja 500 g,"1,85",KILO,"2,85 €",https://cdn-bm.aktiosdigitalservices.com/tol/bm/media/product/img/300x300/A23442_00.jpg?t=20241109030101,"Harina de maíz, agua, sal, antioxidantes",,Alimentacion,,BM
Protector solar protege & broncea spf 30 Nivea spray 270 ml,14.99,,,,"Harina de maíz, agua, sal, antioxidantes",,Cuidado personal,DIA,Dia
Helado mini con chocolate blanco 6 unidades,"3,09",LITRO,"4,99 €",https://cdn-bm.aktiosdigitalservices.com/assets/product/es/icon-frozen.png?ts=1731159359,"Cacao, azúcar, manteca de cacao, vainilla",,Alimentacion,,BM
Calamar limpio Pescanova 400G,"14,97€",KILO,"5,99€",https://www.ahorramas.com/dw/image/v2/BFNH_PRD/on/demandware.static/-/Sites-ahorramas-master/default/dwde8518dd/Assets/026563_C1C1/large/f/2/e/b/f2eb473d19cfb97871f74f2b3b34370080dc24ec_026563_C1C1.jpg?sw=400&sh=900&sm=fit,"Harina de maíz, agua, sal, antioxidantes",,Congelados,,AHORRAMAS
Yogur Danone pack 8 azucarado,"1,96€",KILO,"1,88€",https://www.ahorramas.com/dw/image/v2/BFNH_PRD/on/demandware.static/-/Sites-ahorramas-master/default/dw6bc63989/Assets/07722_C1C1/large/5/c/5/b/5c5b339b95aed228b26a226a00df58f7685c83a4_07722_C1C1.jpg?sw=400&sh=900&sm=fit,"Leche de almendras, azúcar, estabilizantes, sal",,Lacteos,,AHORRAMAS
Hongo en aceite de oliva 240 g,"8,45",KILO,"7,83 €",https://cdn-bm.aktiosdigitalservices.com/tol/bm/media/product/img/300x300/A40083_00.jpg?t=20241010030340,"Harina de maíz, agua, sal, antioxidantes",,Alimentacion,,BM
Mermelada de melocotón sin gluten 250 g,"23,25",KILO,"3,11 €",https://cdn-bm.aktiosdigitalservices.com/tol/bm/media/product/img/300x300/A61796_00.jpg?t=20241106031116,"Harina de maíz, agua, sal, antioxidantes",,Alimentacion,,BM
"Ambientador baño Ambipur 7,5ml nubes de algodón","53,20€",100 ML.,"3,99€",https://www.ahorramas.com/dw/image/v2/BFNH_PRD/on/demandware.static/-/Sites-ahorramas-master/default/dw8d4aff1d/Assets/08006540194140_C1C1/large/3/f/9/9/3f998a4eabc01118282f85223a13fdd0dfa1c7f4_08006540194140_C1C1.jpg?sw=400&sh=900&sm=fit,"Aceite de oliva, ajo, perejil, sal marina",,Limpieza,,AHORRAMAS
Postre lácteo de plátano Nestlé Yogolino pack 4 x 100 g,2.79,KILO,6.98,,"Cacao amargo, avellanas, aceite de palma, edulcorante",Alimento infantil. Leche fermentada con puré de plátano.,Bebe,DIA,Dia
Lejía Multiusos Sanicentro 750ml pistola,"3,05€",LITRO,"2,29€",https://www.ahorramas.com/dw/image/v2/BFNH_PRD/on/demandware.static/-/Sites-ahorramas-master/default/dw5e3750df/Assets/049650_C1C1/large/8/5/7/0/85700e891bb73a249bf7743bf7c96619221236ae_049650_C1C1.jpg?sw=400&sh=900&sm=fit,"Harina de maíz, agua, sal, antioxidantes",,Limpieza,,AHORRAMAS
Chocolate excellence limón 100 g,"8,45",KILO,"3,25 €",https://cdn-bm.aktiosdigitalservices.com/tol/bm/media/product/img/300x300/A16698_00.jpg?t=20241025030139,"Cacao amargo, avellanas, aceite de palma, edulcorante",,Alimentacion,,BM
Pintauñas Rimmel Super Shine 60 seconds 430,"1,39€",UNIDAD,"1,39€",https://www.ahorramas.com/dw/image/v2/BFNH_PRD/on/demandware.static/-/Sites-ahorramas-master/default/dwb0804a66/Assets/07674_C1C1/large/2/c/a/e/2cae67b7aa287863fbf245c4a25e920f169e6429_07674_C1C1.jpg?sw=400&sh=900&sm=fit,"Frutas deshidratadas, jarabe de agave, nueces",,Cuidado personal,,AHORRAMAS
Pinza para depilar Mas Beauty,"1,99€",UNIDAD,"1,99€",https://www.ahorramas.com/dw/image/v2/BFNH_PRD/on/demandware.static/-/Sites-ahorramas-master/default/dw96c01a52/Assets/076447_C1C1/large/6/c/1/9/6c1913c43a53294ac6058ca9790ce3dbcb86fb19_076447_C1C1.jpg?sw=400&sh=900&sm=fit,"Frutas deshidratadas, jarabe de agave, nueces",,Cuidado personal,,AHORRAMAS
Croissants El molino de Dia bolsa 390 g,1.26,KILO,3.23,,"Harina de maíz, agua, sal, antioxidantes",Croissants. Producto de bollería,Alimentacion,DIA,Dia
Copa de vainilla con caramelo y nata Caprichoso Dia pack 4 x 115 g,1.39,KILO,3.02,,"Harina de maíz, agua, sal, antioxidantes",Postre lácteo sabor vainilla con caramelo.,Lacteos,DIA,Dia
Moras en bandeja 125 g,"1,85",KILO,"3,45 €",https://cdn-bm.aktiosdigitalservices.com/tol/bm/media/product/img/300x300/A22148_00.jpg?t=20241109030101,"Frutas deshidratadas, jarabe de agave, nueces",,Alimentacion,,BM
Extracto de kiwi 1 l,"6,95",,"5,49 €",https://cdn-bm.aktiosdigitalservices.com/tol/bm/media/product/img/300x300/A03288_00.jpg?t=20241020030147,"Frutas deshidratadas, jarabe de agave, nueces",,Alimentacion,,BM
Papel higiénico Foxy 4 rollos Mega3,"0,87€",UNIDAD,"3,49€",https://www.ahorramas.com/dw/image/v2/BFNH_PRD/on/demandware.static/-/Sites-ahorramas-master/default/dw04d1e9e7/Assets/010041_C1C1/large/b/6/9/7/b697021351b0c0e0946670409c3941f10b913334_010041_C1C1.jpg?sw=400&sh=900&sm=fit,"Harina de maíz, agua, sal, antioxidantes",,Limpieza,,AHORRAMAS
"Vino blanco verdejo Frizzante 0,75 l","6,95",LITRO,"6,85 €",https://cdn-bm.aktiosdigitalservices.com/tol/bm/media/product/img/300x300/A82390_00.jpg?t=20241106030512,"Aceite de oliva, ajo, perejil, sal marina",,Bebidas,,BM
Hummus 150 g,"15,49",KILO,"1,69 €",https://cdn-bm.aktiosdigitalservices.com/tol/bm/media/product/img/300x300/A77402_00.jpg?t=20241106030240,"Aceite de oliva, ajo, perejil, sal marina",,Alimentacion,,BM
Infusión frutas del bosque 100 g,"7,65",KILO,"3,39 €",https://cdn-bm.aktiosdigitalservices.com/assets/product/es/icon-localMarket.png,"Harina de maíz, agua, sal, antioxidantes",,Alimentacion,,BM
Solomillo de pavo bipack (700 g aprox),"8,95",KILO,,https://cdn-bm.aktiosdigitalservices.com/assets/product/es/icon-weight.png?ts=1731156205,"Frutas deshidratadas, jarabe de agave, nueces",,Alimentacion,,BM
Pan de leche con pepitas de chocolate 6 unidades,"26,35",UNIDAD,"2,99 €",https://cdn-bm.aktiosdigitalservices.com/tol/bm/media/product/img/300x300/A63837_00.jpg?t=20241106030447,"Harina de trigo, agua, levadura, sal",,Alimentacion,,BM
